"Notes"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Jan., 2018"	"2018/01"	"#Salmonella infections (A01-A02)"	"GR113-001"	2	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	1	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	898	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Tuberculosis (A16-A19)"	"GR113-004"	59	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Respiratory tuberculosis (A16)"	"GR113-005"	35	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other tuberculosis (A17-A19)"	"GR113-006"	24	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Whooping cough (A37)"	"GR113-007"	1	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Meningococcal infection (A39)"	"GR113-009"	1	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Septicemia (A40-A41)"	"GR113-010"	4502	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Syphilis (A50-A53)"	"GR113-011"	8	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Viral hepatitis (B15-B19)"	"GR113-015"	504	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	582	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Malaria (B50-B54)"	"GR113-017"	2	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	1001	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	52876	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	886	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	1389	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	947	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	4818	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	2331	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	3779	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	342	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	12779	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant melanoma of skin (C43)"	"GR113-028"	684	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of breast (C50)"	"GR113-029"	3787	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	366	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	885	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	1139	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	2872	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	1252	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	1457	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	1465	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	5182	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Hodgkin disease (C81)"	"GR113-038"	89	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	1832	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Leukemia (C91-C95)"	"GR113-040"	2032	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	1221	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	8	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	6516	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	1416	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Anemias (D50-D64)"	"GR113-045"	474	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	8674	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	864	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Malnutrition (E40-E46)"	"GR113-048"	831	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	33	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Meningitis (G00,G03)"	"GR113-050"	69	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Parkinson disease (G20-G21)"	"GR113-051"	3548	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Alzheimer disease (G30)"	"GR113-052"	13410	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	87912	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	67024	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	382	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Hypertensive heart disease (I11)"	"GR113-056"	5124	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	831	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	37683	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	11282	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	465	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	25936	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	6579	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	19357	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other heart diseases (I26-I51)"	"GR113-064"	23004	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Acute and subacute endocarditis (I33)"	"GR113-065"	150	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	94	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Heart failure (I50)"	"GR113-067"	8276	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	14484	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	3769	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	14653	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Atherosclerosis (I70)"	"GR113-071"	583	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	1883	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	957	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	926	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	488	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	12164	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Influenza (J09-J11)"	"GR113-077"	5145	Not Applicable	Not Applicable
