"Institution Name","City","State","movingAverage_cases","UGDS"
"","Anchorage, AK","Higher Education",0,6103.91
"","Fairbanks, AK","Higher Education",0,5001.33
"","Birmingham, AL","Higher Education",0,6683.53
"","Mobile, AL","Higher Education",0,4683.65
"","Montgomery, AL","Higher Education",0,5394.25
"","Ft. Smith, AR","Higher Education",0,4688.18
"","Little Rock, AR","Higher Education",0,5014.61
"","Mesa, AZ","Higher Education",0,4381.82
"","Phoenix, AZ","Higher Education",0,4733.73
"","Tucson, AZ","Higher Education",0,4037.95
"","Anaheim, CA","Higher Education",0,7400.21
"","Bakersfield, CA","Higher Education",0,6314.94
"","Fremont, CA","Higher Education",0,7471.08
"","Fresno, CA","Higher Education",0.0566741360977106,7269.63
"","Huntington Beach, CA","Higher Education",0,5269.51
"","Long Beach, CA","Higher Education",0.00836340807820528,9445.91
"","Los Angeles, CA","Higher Education",0.00787538155725203,10031.26
"","Modesto, CA","Higher Education",0,7317.72
"","Oakland, CA","Higher Education",0,11566.7
"","Riverside, CA","Higher Education",0,8212.08
"","Sacramento, CA","Higher Education",0.0691873412602016,7862.71
"","San Diego, CA","Higher Education",0,6857.95
"","San Francisco, CA","Higher Education",0,17828.53
"","San Jose, CA","Higher Education",0,7856.72
"","Santa Ana, CA","Higher Education",0,6099.03
"","Stockton, CA","Higher Education",0,5938.43
"","Aurora, CO","Higher Education",0.672487559169802,5272.96
"","Colorado Springs, CO","Higher Education",0,5137.81
"","Denver, CO","Higher Education",0.425701660442627,9701.63
"","Bridgeport, CT","Higher Education",0,6257.18
"","Hartford, CT","Higher Education",0,8455.72
"","New Haven, CT","Higher Education",0,7995.81
"","Washington, DC","Higher Education",0.8539532038538,21251.75
"","Dover, DE","Higher Education",0,5685.64
"","Wilmington, DE","Higher Education",0,7757.42
"","Ft. Lauderdale, FL","Higher Education",0.51876911515294,7824.29
"","Hialeah, FL","Higher Education",0.199433608551713,6017.04
"","Jacksonville, FL","Higher Education",0,5791.49
"","Miami, FL","Higher Education",0.157850516004329,6772.23
"","Orlando, FL","Higher Education",0.394861235220224,7721.7
"","St. Petersburg, FL","Higher Education",0.545836755930543,5246.99
"","Tallahassee, FL","Higher Education",0.446697577652753,6306.28
"","Tampa, FL","Higher Education",0.151851535593317,7026.6
"","Atlanta, GA","Higher Education",0,8470.9
"","Columbus, GA","Higher Education",0,4085.4
"","Cedar Rapids, IA","Higher Education",0,4776.87
"","Des Moines, IA","Higher Education",0,5610.75
"","Boise, ID","Higher Education",0,3181.05
"","Nampa, ID","Higher Education",0,2413.8
"","Aurora, IL","Higher Education",0,4772.94
"","Chicago, IL","Higher Education",0,9024.8
"","Ft. Wayne, IN","Higher Education",0,2847.79
"","Gary, IN","Higher Education",0,4097.31
"","Indianapolis, IN","Higher Education",0,5520.64
"","Kansas City, KS","Higher Education",0,7614.7
"","Topeka, KS","Higher Education",0,4782.84
"","Wichita, KS","Higher Education",0,4326.96
"","Lexington, KY","Higher Education",0,3627.71
"","Louisville, KY","Higher Education",0,4096.3
"","Baton Rouge, LA","Higher Education",0,4411.71
"","New Orleans, LA","Higher Education",0,5393.4
"","Shreveport, LA","Higher Education",0,5438.02
"","Boston, MA","Higher Education",0,7001.54
"","Springfield, MA","Higher Education",0,5639.63
"","Worcester, MA","Higher Education",0,5144.99
"","Baltimore, MD","Higher Education",0,7341.62
"","Frederick, MD","Higher Education",3.28260093870941,7286.6
"","Lewiston, ME","Higher Education",0,4565.94
"","Portland, ME","Higher Education",0,5781.67
"","Detroit, MI","Higher Education",0,6926.36
"","Flint, MI","Higher Education",0,8697.07
"","Grand Rapids, MI","Higher Education",0,5030.65
"","Warren, MI","Higher Education",0,4514.4
"","Minneapolis, MN","Higher Education",0,8581.12
