year,city,state,admin_financial,admin_judicial,admin_other,administration,air_transit,commercial_activ,correction,educ_elem_sec,educ_higher,education,education_services,envir_housing,fire,health,highways,hospitals,housing_commdevt,inspection,interest_general,libraries,misc,natural_resources,other_gen_spending,parking,parks_recreation,police,public_buildings,public_safety,public_welfare,seaport,sewerage,social_services,sp_empl_retire_tr,spend_intergovt,spend_liquor_store,spending_direct,spending_general,spending_utility,transportation,utility_elec,utility_gas,utility_transit,utility_water,waste_mgmt,welfare_cash,welfare_other,welfare_vendors,percentChange_police,percentChange_correction,percentChange_fire,percentChange_inspection,percentChange_public_safety,ratio_police_public_welfare,combined_police,combined_public_welfare,rank_public_safety,pct_social,pct_police,police_2017,police_1977,social_2017,social_1977
1977,Akron,OH,43.06,18.73,126.93,296.12,15.16,0,14.24,1331.64,0,1331.64,1357.81,623.7,109.45,140.99,343.65,29.42,200.36,9.27,124.5,26.17,245.65,0.07,245.65,35.43,68.78,181.28,107.39,314.24,154.78,0,218.15,325.19,0,9.46,0,3856,3681.45,174.55,394.24,0,0,19.92,154.63,136.33,8.49,134.16,12.13,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.17121075074299,0.5394274831875261,0.46057251681247396,108,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1978,Akron,OH,41.07,20.81,106.1,217.82,14.55,0,17.65,1332.42,0,1332.42,1362.06,576.64,109.85,180.28,283.83,30.73,250.15,9.71,105.82,29.64,99.19,0.01,99.19,18.11,65.61,163.86,49.83,301.05,147.39,0,208.45,358.4,0,3.01,0,3548.95,3337.48,211.48,316.5,0,0,20.22,191.26,52.42,5.77,136.81,4.81,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.111744351719927,0.5264578313253012,0.4735421686746987,117,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1979,Akron,OH,39.51,21.92,96.69,223.67,15.5,0,17.97,1337.7,0,1337.7,1369.37,766.42,123.44,184.57,285.47,35.83,346.27,8.9,111.4,31.67,243.18,0.01,243.18,18.49,90,203.49,65.54,353.79,151.37,0,278.14,371.78,0,0.53,0,3954.06,3759.07,194.99,319.46,0,0,19.78,175.21,52,2.79,145.54,3.04,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.3443218603422078,0.573437411937102,0.42656258806289804,86,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1980,Akron,OH,35.57,21.5,60.51,170.87,22.2,0,24.3,1246.71,0,1246.71,1278.87,774.84,108.33,134.35,155.56,360.93,334.74,8.67,110.83,32.16,339.49,0.12,339.49,15.57,65.48,185.33,53.29,326.62,147.55,0,294.65,642.83,0,0.38,0,4016.89,3837.69,179.2,193.34,0,0,12.94,166.26,79.84,6.08,135.16,6.31,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.25604879701796,0.556747176159577,0.443252823840423,96,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1981,Akron,OH,43.04,22.03,73.91,189.66,17.15,0,23.55,1168.22,0,1168.22,1201.22,794.95,115.37,164.75,243.38,26.08,373.95,9.34,117.37,33,165.86,0.52,165.86,16.2,59.98,188.25,50.68,336.51,168.7,0,243.92,359.53,0,0.27,0,3615.27,3441.84,173.43,276.73,0,0,12.7,160.73,116.58,19.63,139.62,9.45,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.1158861885002964,0.5273847877854041,0.47261521221459585,95,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1982,Akron,OH,47.24,55.75,31.51,167.96,11.03,0,23.15,1149.09,0,1149.09,1184.54,654.27,103.37,142.91,220.01,34.99,305.33,9.95,149.29,35.46,300.65,0.25,300.65,14.94,40.44,170.5,33.46,306.97,165.32,0,192.03,343.21,0,0.21,0,3579.86,3352.89,226.97,245.98,0,0,11.95,215.02,116.23,29.78,119.9,15.64,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,1.0313331720300025,0.5077124650110179,0.4922875349889822,115,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1983,Akron,OH,94.89,66.62,35.5,225.68,14.58,0,40.93,1181.64,0,1181.64,1216.32,683.46,156.52,170.74,182.43,44.29,430.62,10.22,161.09,34.68,121.13,0.49,121.13,42.26,45.98,198.66,28.67,406.32,200.68,0,158.72,415.7,0,13.18,0,3737.03,3468.97,268.06,239.27,0,0,34.78,233.27,47.65,47.18,131.64,21.85,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.9899342236396252,0.4974708268643261,0.5025291731356738,78,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1984,Akron,OH,38.83,67.47,32.53,161.49,33.45,0,39.59,1262.9,0,1262.9,1297.6,557.81,170.07,170.49,247.37,47.64,315.89,9.55,205.14,34.7,182.05,0.34,182.05,26.4,44.59,208.35,22.65,427.57,216.67,0,154.67,434.8,0,25.81,0,3828.63,3573.67,254.96,307.22,0,0,31.07,223.89,42.32,62.71,125.4,28.56,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.9616005907601421,0.4902122253070444,0.5097877746929557,74,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1985,Akron,OH,54.51,60.44,30.18,170.22,46.93,0,38.64,1285.72,0,1285.72,1321.07,639.64,162.02,164.88,166.44,48.01,381.74,9.55,197.95,35.35,275.55,0.31,275.55,23.32,48.41,196.99,25.09,407.2,236.62,0,159.58,449.52,0,27.69,0,3941.76,3697.83,243.92,236.68,0,0,36.85,207.08,49.61,68.74,135.53,32.35,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.8325162708139633,0.4543022531768179,0.5456977468231821,87,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
1986,Akron,OH,57.87,74.12,35.29,197.48,58.73,0,43.7,1363.84,0,1363.84,1399.86,597.07,180.67,179.13,265.92,68.47,339.14,11.77,213.73,36.02,282.56,0.49,282.56,15.04,50.94,221.45,30.2,457.59,260.31,0,157.33,507.92,0,26.98,0,4262.86,3995.89,266.96,339.69,0,0,34.19,232.77,49.18,62.72,155.77,41.82,0.8800750220653133,9.164325842696629,1.3259022384650525,-0.42394822006472493,1.3722950610997964,0.8507164534593369,0.45966871471272003,0.54033128528728,83,33.77223860717344,137.22950610997964,745.47,314.24,703.04,525.55
