"Name","NAICS","NF Incidence - Total","NF Cases - Total","F Cases - Total"
"Oilseed/grain farming","1111",2.8,500,78
"Vegetable/melon farming","1112",4.4,3400,12
"Fruit/tree nut farming","1113",6.5,9100,19
"Greenhouse, nursery,/floriculture production","1114",5.8,7300,10
"Other crop farming","1119",5.5,2100,59
"Cattle ranching/farming","1121",6.8,9100,135
"Hog/pig farming","1122",7.7,1900,4
"Poultry/egg production","1123",4.3,1800,5
"Sheep/goat farming","1124",NA,0,1
"Aquaculture","1125",6.1,300,NA
"Other animal production","1129",8.9,1000,12
"Forest nurseries/gathering of forest products","1132",3.6,100,8
"Logging","1133",3.5,1700,75
"Hunting/trapping","1142",3.1,0,1
"Support activities for crop production","1151",4.6,13900,34
"Support activities for animal production","1152",3.8,1100,6
"Support activities for forestry","1153",5.8,900,NA
"Animal food manufacturing","3111",3.3,2200,7
"Grain/oilseed milling","3112",2.5,1700,NA
"Sugar/confectionery product manufacturing","3113",4.1,2900,NA
"Fruit/vegetable preserving/specialty food manufacturing","3114",4.2,7400,1
"Dairy product manufacturing","3115",4.8,7300,3
"Animal slaughtering/processing","3116",4.3,23500,11
"Seafood product preparation/packaging","3117",6,2000,5
"Bakeries/tortilla manufacturing","3118",4.1,11900,5
"Other food manufacturing","3119",4.2,9500,5
"Beverage manufacturing","3121",4.8,11400,3
"Tobacco manufacturing","3122",3.3,400,NA
"Fiber, yarn,/thread mills","3131",2.9,900,NA
"Fabric mills","3132",3.4,1800,NA
"Textile/fabric finishing/fabric coating mills","3133",2.5,800,NA
"Textile furnishings mills","3141",3.4,1700,3
"Other textile product mills","3149",3.8,2300,4
"Apparel knitting mills","3151",2.7,300,NA
"Cut/sew apparel manufacturing","3152",1.5,1300,NA
"Apparel accessories/other apparel manufacturing","3159",3.9,400,NA
"Leather/hide tanning/finishing","3161",7.9,300,NA
"Footwear manufacturing","3162",3.9,500,NA
"Other leather/allied product manufacturing","3169",3.2,300,NA
"Sawmills/wood preservation","3211",5.8,5800,22
"Veneer, plywood,/engineered wood product manufacturing","3212",5.3,4400,5
"Other wood product manufacturing","3219",6.3,14500,19
"Pulp, paper,/paperboard mills","3221",1.9,1900,4
"Converted paper product manufacturing","3222",3,8200,5
"Printing/related support activities","3231",2.3,9300,4
"Petroleum/coal products manufacturing","3241",1.3,1600,5
"Basic chemical manufacturing","3251",1.3,2100,3
