"site_zip","Number_Violations","Total_Penalty","Willful_Violations","Fatalities","Accidents","Repeat_Violations","Serious_Violations","text_Number_Violations","text_Total_Penalty","text_Fatalities","text_Willful_Violations","text_Serious_Violations","text_Repeat_Violations","lat","lon"
99692,318,526313.8,0,0,0,8,239,"Alaska Longline, Llc<br />Industry: Seafood Product Preparation and Packaging<br />318 violations (239 serious, 8 repeat, 0 willful). <br />Total penalties: $526,314","Alaska Longline, Llc<br />Industry: Seafood Product Preparation and Packaging<br />318 violations (239 serious, 8 repeat, 0 willful). <br />Total penalties: $526,314","Alaska Longline, Llc<br />Industry: Seafood Product Preparation and Packaging<br />318 violations (239 serious, 8 repeat, 0 willful). <br />Total penalties: $526,314","Alaska Longline, Llc<br />Industry: Seafood Product Preparation and Packaging<br />318 violations (239 serious, 8 repeat, 0 willful). <br />Total penalties: $526,314","Alaska Longline, Llc<br />Industry: Seafood Product Preparation and Packaging<br />318 violations (239 serious, 8 repeat, 0 willful). <br />Total penalties: $526,314","Alaska Longline, Llc<br />Industry: Seafood Product Preparation and Packaging<br />318 violations (239 serious, 8 repeat, 0 willful). <br />Total penalties: $526,314",53.885808,-166.538324
90058,115,299950,0,0,3,0,45,"Baker Commodities Inc<br />Industry: Animal Food Manufacturing<br />115 violations (45 serious, 0 repeat, 0 willful). <br />Total penalties: $299,950","Baker Commodities Inc<br />Industry: Animal Food Manufacturing<br />115 violations (45 serious, 0 repeat, 0 willful). <br />Total penalties: $299,950","Baker Commodities Inc<br />Industry: Animal Food Manufacturing<br />115 violations (45 serious, 0 repeat, 0 willful). <br />Total penalties: $299,950","Baker Commodities Inc<br />Industry: Animal Food Manufacturing<br />115 violations (45 serious, 0 repeat, 0 willful). <br />Total penalties: $299,950","Baker Commodities Inc<br />Industry: Animal Food Manufacturing<br />115 violations (45 serious, 0 repeat, 0 willful). <br />Total penalties: $299,950","Baker Commodities Inc<br />Industry: Animal Food Manufacturing<br />115 violations (45 serious, 0 repeat, 0 willful). <br />Total penalties: $299,950",34.002844,-118.2164
93230,115,184920,0,0,13,0,26,"Bernard Te Velde <br />Industry: Cattle Ranching and Farming<br />115 violations (26 serious, 0 repeat, 0 willful). <br />Total penalties: $184,920","Bernard Te Velde <br />Industry: Cattle Ranching and Farming<br />115 violations (26 serious, 0 repeat, 0 willful). <br />Total penalties: $184,920","Bernard Te Velde <br />Industry: Cattle Ranching and Farming<br />115 violations (26 serious, 0 repeat, 0 willful). <br />Total penalties: $184,920","Bernard Te Velde <br />Industry: Cattle Ranching and Farming<br />115 violations (26 serious, 0 repeat, 0 willful). <br />Total penalties: $184,920","Bernard Te Velde <br />Industry: Cattle Ranching and Farming<br />115 violations (26 serious, 0 repeat, 0 willful). <br />Total penalties: $184,920","Bernard Te Velde <br />Industry: Cattle Ranching and Farming<br />115 violations (26 serious, 0 repeat, 0 willful). <br />Total penalties: $184,920",36.29223,-119.622676
99693,74,58690,0,0,0,4,64,"Whittier Seafood Llc<br />Industry: Seafood Product Preparation and Packaging<br />74 violations (64 serious, 4 repeat, 0 willful). <br />Total penalties: $58,690","Whittier Seafood Llc<br />Industry: Seafood Product Preparation and Packaging<br />74 violations (64 serious, 4 repeat, 0 willful). <br />Total penalties: $58,690","Whittier Seafood Llc<br />Industry: Seafood Product Preparation and Packaging<br />74 violations (64 serious, 4 repeat, 0 willful). <br />Total penalties: $58,690","Whittier Seafood Llc<br />Industry: Seafood Product Preparation and Packaging<br />74 violations (64 serious, 4 repeat, 0 willful). <br />Total penalties: $58,690","Whittier Seafood Llc<br />Industry: Seafood Product Preparation and Packaging<br />74 violations (64 serious, 4 repeat, 0 willful). <br />Total penalties: $58,690","Whittier Seafood Llc<br />Industry: Seafood Product Preparation and Packaging<br />74 violations (64 serious, 4 repeat, 0 willful). <br />Total penalties: $58,690",60.843929,-148.782596
93274,73,54120,0,0,0,0,13,"Adrian Nunes & Sons Farming<br />Industry: Cattle Ranching and Farming<br />73 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $54,120","Adrian Nunes & Sons Farming<br />Industry: Cattle Ranching and Farming<br />73 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $54,120","Adrian Nunes & Sons Farming<br />Industry: Cattle Ranching and Farming<br />73 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $54,120","Adrian Nunes & Sons Farming<br />Industry: Cattle Ranching and Farming<br />73 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $54,120","Adrian Nunes & Sons Farming<br />Industry: Cattle Ranching and Farming<br />73 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $54,120","Adrian Nunes & Sons Farming<br />Industry: Cattle Ranching and Farming<br />73 violations (13 serious, 0 repeat, 0 willful). <br />Total penalties: $54,120",36.178091,-119.370752
98595,73,263439,3,0,0,9,35,"Washington Crab Producers Inc<br />Industry: Seafood Product Preparation and Packaging<br />73 violations (35 serious, 9 repeat, 3 willful). <br />Total penalties: $263,439","Washington Crab Producers Inc<br />Industry: Seafood Product Preparation and Packaging<br />73 violations (35 serious, 9 repeat, 3 willful). <br />Total penalties: $263,439","Washington Crab Producers Inc<br />Industry: Seafood Product Preparation and Packaging<br />73 violations (35 serious, 9 repeat, 3 willful). <br />Total penalties: $263,439","Washington Crab Producers Inc<br />Industry: Seafood Product Preparation and Packaging<br />73 violations (35 serious, 9 repeat, 3 willful). <br />Total penalties: $263,439","Washington Crab Producers Inc<br />Industry: Seafood Product Preparation and Packaging<br />73 violations (35 serious, 9 repeat, 3 willful). <br />Total penalties: $263,439","Washington Crab Producers Inc<br />Industry: Seafood Product Preparation and Packaging<br />73 violations (35 serious, 9 repeat, 3 willful). <br />Total penalties: $263,439",46.888078,-124.113425
99615,69,192250,0,0,5,9,39,"Global Seafoods North America Llc.<br />Industry: Seafood Product Preparation and Packaging<br />69 violations (39 serious, 9 repeat, 0 willful). <br />Total penalties: $192,250","Global Seafoods North America Llc.<br />Industry: Seafood Product Preparation and Packaging<br />69 violations (39 serious, 9 repeat, 0 willful). <br />Total penalties: $192,250","Global Seafoods North America Llc.<br />Industry: Seafood Product Preparation and Packaging<br />69 violations (39 serious, 9 repeat, 0 willful). <br />Total penalties: $192,250","Global Seafoods North America Llc.<br />Industry: Seafood Product Preparation and Packaging<br />69 violations (39 serious, 9 repeat, 0 willful). <br />Total penalties: $192,250","Global Seafoods North America Llc.<br />Industry: Seafood Product Preparation and Packaging<br />69 violations (39 serious, 9 repeat, 0 willful). <br />Total penalties: $192,250","Global Seafoods North America Llc.<br />Industry: Seafood Product Preparation and Packaging<br />69 violations (39 serious, 9 repeat, 0 willful). <br />Total penalties: $192,250",57.682717,-153.378849
99576,62,359055,0,0,8,1,54,"Icicle Seafoods Inc.<br />Industry: Seafood Product Preparation and Packaging<br />62 violations (54 serious, 1 repeat, 0 willful). <br />Total penalties: $359,055","Icicle Seafoods Inc.<br />Industry: Seafood Product Preparation and Packaging<br />62 violations (54 serious, 1 repeat, 0 willful). <br />Total penalties: $359,055","Icicle Seafoods Inc.<br />Industry: Seafood Product Preparation and Packaging<br />62 violations (54 serious, 1 repeat, 0 willful). <br />Total penalties: $359,055","Icicle Seafoods Inc.<br />Industry: Seafood Product Preparation and Packaging<br />62 violations (54 serious, 1 repeat, 0 willful). <br />Total penalties: $359,055","Icicle Seafoods Inc.<br />Industry: Seafood Product Preparation and Packaging<br />62 violations (54 serious, 1 repeat, 0 willful). <br />Total penalties: $359,055","Icicle Seafoods Inc.<br />Industry: Seafood Product Preparation and Packaging<br />62 violations (54 serious, 1 repeat, 0 willful). <br />Total penalties: $359,055",60.274057,-158.668434
92582,60,34625,0,0,0,0,18,"Art And John Oostdam <br />Industry: Cattle Ranching and Farming<br />60 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $34,625","Art And John Oostdam <br />Industry: Cattle Ranching and Farming<br />60 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $34,625","Art And John Oostdam <br />Industry: Cattle Ranching and Farming<br />60 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $34,625","Art And John Oostdam <br />Industry: Cattle Ranching and Farming<br />60 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $34,625","Art And John Oostdam <br />Industry: Cattle Ranching and Farming<br />60 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $34,625","Art And John Oostdam <br />Industry: Cattle Ranching and Farming<br />60 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $34,625",33.807607,-117.015163
21701,56,17470,0,0,0,0,18,"Dairy Maid Dairy, Llc<br />Industry: Dairy Product Manufacturing<br />56 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $17,470","Dairy Maid Dairy, Llc<br />Industry: Dairy Product Manufacturing<br />56 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $17,470","Dairy Maid Dairy, Llc<br />Industry: Dairy Product Manufacturing<br />56 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $17,470","Dairy Maid Dairy, Llc<br />Industry: Dairy Product Manufacturing<br />56 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $17,470","Dairy Maid Dairy, Llc<br />Industry: Dairy Product Manufacturing<br />56 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $17,470","Dairy Maid Dairy, Llc<br />Industry: Dairy Product Manufacturing<br />56 violations (18 serious, 0 repeat, 0 willful). <br />Total penalties: $17,470",39.443596,-77.332894
