"state","start","end","pct","fips"
"Virgin Islands",24,11,-54.1666666666667,0
"Wyoming",344,4900,1324.41860465116,56
"South Dakota",171,7916,4529.23976608187,46
"West Virginia",740,14145,1811.48648648649,54
"Alaska",850,15370,1708.23529411765,2
"District of Columbia",388,15393,3867.26804123711,0
"North Dakota",211,16093,7527.01421800948,38
"Vermont",499,16176,3141.68336673347,50
"Delaware",460,18863,4000.65217391304,10
"Montana",729,20011,2644.99314128944,30
"New Mexico",837,26606,3078.73357228196,35
"Nebraska",730,26788,3569.58904109589,31
"Rhode Island",758,28255,3627.57255936675,44
"Idaho",1104,30022,2619.38405797101,16
"Maine",561,30631,5360.07130124777,23
"Utah",873,33076,3688.77434135166,49
"Connecticut",2508,33418,1232.45614035088,9
"New Hampshire",516,36214,6918.21705426357,33
"Colorado",1550,45494,2835.09677419355,8
"Mississippi",930,46504,4900.43010752688,28
"Kansas",1271,49756,3814.7128245476,20
"Oklahoma",1572,51124,3152.16284987277,40
"Hawaii",1055,53082,4931.4691943128,15
"Oregon",3855,56646,1369.41634241245,41
"Arkansas",2263,60992,2595.18338488732,5
"Puerto Rico",1002,66349,6521.65668662675,0
"Iowa",2272,67334,2863.64436619718,19
"Nevada",2115,79865,3676.12293144208,32
"Missouri",3557,82399,2216.53078436885,29
"South Carolina",1733,85018,4805.82804385459,45
"Louisiana",1619,102985,6261.02532427424,22
"Wisconsin",5416,104776,1834.56425406204,55
"Alabama",2220,105607,4657.07207207207,1
"Maryland",2923,107408,3574.58091002395,24
"Minnesota",3313,111119,3254.02958044069,27
"Tennessee",2367,116141,4806.67511618082,47
"Kentucky",1957,117135,5885.43689320388,21
"Arizona",3402,132189,3785.62610229277,4
"Indiana",2069,133639,6359.11068148864,18
"North Carolina",2796,137573,4820.35050071531,37
"Massachusetts",4301,139582,3145.33829342013,25
"Virginia",2141,149758,6894.76879962634,51
"Florida",5353,169885,3073.64094900056,12
"Washington",5405,176827,3171.54486586494,53
"Illinois",7933,200940,2432.9635698979,17
"New Jersey",7485,213897,2757.6753507014,34
"Ohio",5981,224182,3648.23608092292,39
"Pennsylvania",11897,283718,2284.7860805245,42
"Texas",14382,313832,2082.11653455709,48
"New York",12684,345246,2621.90160832545,36
"Michigan",4887,384844,7774.85164722734,26
"Georgia",4182,388175,9182.04208512673,13
"California",39832,925450,2223.38320947982,6
