"date","Alabama_state","Alaska_state","Arizona_state","Arkansas_state","California_state","Colorado_state","Connecticut_state","Delaware_state","District of Columbia_state","Florida_state","Georgia_state","Hawaii_state","Idaho_state","Illinois_state","Indiana_state","Iowa_state","Kansas_state","Kentucky_state","Louisiana_state","Maine_state","Maryland_state","Massachusetts_state","Michigan_state","Minnesota_state","Mississippi_state","Missouri_state","Montana_state","Nebraska_state","Nevada_state","New Hampshire_state","New Jersey_state","New Mexico_state","New York_state","North Carolina_state","North Dakota_state","Ohio_state","Oklahoma_state","Oregon_state","Pennsylvania_state","Puerto Rico_state","Rhode Island_state","South Carolina_state","South Dakota_state","Tennessee_state","Texas_state","USA_us","Utah_state","Vermont_state","Virgin Islands_state","Virginia_state","Washington_state","West Virginia_state","Wisconsin_state","Wyoming_state"
1967-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"208000",NA,NA,NA,NA,NA,NA,NA,NA
1967-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"207000",NA,NA,NA,NA,NA,NA,NA,NA
1967-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"217000",NA,NA,NA,NA,NA,NA,NA,NA
1967-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"204000",NA,NA,NA,NA,NA,NA,NA,NA
1967-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"216000",NA,NA,NA,NA,NA,NA,NA,NA
1967-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"229000",NA,NA,NA,NA,NA,NA,NA,NA
1967-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"229000",NA,NA,NA,NA,NA,NA,NA,NA
1967-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"242000",NA,NA,NA,NA,NA,NA,NA,NA
1967-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"310000",NA,NA,NA,NA,NA,NA,NA,NA
1967-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"241000",NA,NA,NA,NA,NA,NA,NA,NA
1967-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"245000",NA,NA,NA,NA,NA,NA,NA,NA
